学年	英単語	品詞	正解の意味	学年の根拠
1	chestnut	名詞	クリ	中学1年
1	chicken	名詞	とり肉	小学校語彙
1	child	名詞	子供	小学校語彙
2	childhood	名詞	子供のころ	中学2年
1	children	名詞	「child」の複数形	小学校語彙
1	Children's Day	名詞	こどもの日	小学校語彙
1	China	名詞	中国	中学1年
1	Chinese	形容詞	中国の	中学1年
1	chocolate	名詞	チョコレート	小学校語彙
2	chopstick	名詞	はし	中学2年
2	chose	動詞	「choose」の過去形	中学2年
2	chosen	動詞	「choose」の過去分詞	中学2年
1	Christmas	名詞	クリスマス	小学校語彙
1	Christmas Day	名詞	クリスマス	中学1年
1	circle	名詞	円	小学校語彙
3	citizen	名詞	市民	中学3年
1	city	名詞	市	小学校語彙
2	city hall	名詞	市役所	中学2年
2	clap	動詞	をたたく	中学2年
1	classmate	名詞	同級生	小学校語彙
1	classroom	名詞	教室	小学校語彙
1	clean	形容詞	きれいな	小学校語彙
2	cleanup	名詞	大そうじ	中学2年
未確認	clear	形容詞	はっきりした	未確認
2	clerk	名詞	店員	中学2年
2	climb	動詞	…にのぼる	中学2年
未確認	cloth	名詞	布	未確認
1	clothes	名詞	衣服	小学校語彙
2	cloud	名詞	雲	中学2年
3	cloudless	形容詞	雲のない	中学3年
1	cloudy	形容詞	くもった	小学校語彙
3	coal	名詞	石炭	中学3年
3	coat	名詞	上着	中学3年
1	coffee	名詞	コーヒー	小学校語彙
2	coin	名詞	硬貨	中学2年
1	cold	形容詞	冷たい	小学校語彙
未確認	collect	動詞	…を集める	未確認
未確認	collection	名詞	収集したもの	未確認
3	colony	名詞	植民地	中学3年
1	color	名詞	色	小学校語彙
未確認	colorfulness	名詞	色の鮮やかさ	未確認
3	colorless	形容詞	無色の	中学3年
1	comb	動詞	をくしでとかす	小学校語彙
1	come	動詞	来る	小学校語彙
1	comedian	名詞	コメディアン	小学校語彙
2	comment	名詞	批評	中学2年
3	common	形容詞	ふつうの	中学3年
1	computer	名詞	コンピュータ	小学校語彙
2	concern	動詞	を心配させる	中学2年
1	concert	名詞	演奏会	中学1年
2	conference	名詞	会議	中学2年
3	connect	動詞	…を結びつける	中学3年
3	consumer	名詞	消費者	中学3年
2	contact	名詞	接触	中学2年
3	continue	動詞	…を続ける	中学3年
3	control	動詞	…を管理する	中学3年
2	convenience	名詞	便利なこと	中学2年
3	convenient	形容詞	便利な	中学3年
1	cook	動詞	料理する	小学校語彙
1	cookie	名詞	クッキー	小学校語彙
1	cooking	名詞	料理	小学校語彙
1	corn	名詞	トウモロコシ	小学校語彙
3	corner	名詞	コーナー	中学3年
2	could	助動詞	できた・できるでしょうか	中学2年
未確認	count	動詞	数える	未確認
3	countryside	名詞	いなか	中学3年
3	courage	名詞	勇気	中学3年
1	course	名詞	もちろん	中学1年
2	court	名詞	コート	中学2年
2	cover	動詞	…をおおう	中学2年
3	cow	名詞	ウシ	中学3年
2	crater	名詞	噴火口	中学2年
1	crayon	名詞	クレヨン	小学校語彙
2	create	動詞	…を創造する	中学2年
未確認	creep	動詞	はう	未確認
1	crept	動詞	「creep」の過去形	中学1年
2	crime	名詞	罪	中学2年
3	crisis	名詞	危機	中学3年
2	crispy	形容詞	カリカリした	中学2年
3	critically	副詞	危機的な	中学3年
3	cross	動詞	…を横切る	中学3年
3	cry	動詞	泣く	中学3年
1	cup	名詞	カップ	小学校語彙
2	curling	名詞	カーリング	中学2年
1	curry	名詞	カレー	小学校語彙
未確認	cushion	名詞	クッション	未確認
2	customer	名詞	客	中学2年
1	cut	動詞	…を切る	小学校語彙
1	cute	形容詞	かわいい	小学校語彙
未確認	dad	名詞	お父さん	未確認
3	daily	形容詞	日常の	中学3年
3	dam	名詞	ダム	中学3年
3	damage	動詞	…に損害を与える	中学3年
1	dance	名詞	ダンス	小学校語彙
1	dancing	名詞	おどり	小学校語彙
3	dangerous	形容詞	危険な	中学3年
2	data	名詞	資料	中学2年
1	date	名詞	日付	小学校語彙
未確認	daughter	名詞	娘	未確認
1	day	名詞	日、1日	小学校語彙
3	dead	形容詞	死んだ	中学3年
未確認	dear	形容詞	親愛なる…	未確認
3	death	名詞	死	中学3年
3	debate	名詞	討論	中学3年
1	December	名詞	12月	小学校語彙
2	decide	動詞	…を決める	中学2年
3	decision	名詞	決定	中学3年
2	decrease	動詞	減る	中学2年
1	delicious	形容詞	とてもおいしい	小学校語彙
3	deliver	動詞	…を届ける	中学3年
3	Denmark	名詞	デンマーク	中学3年
3	designer	名詞	デザイナー	中学3年
1	desk	名詞	机	小学校語彙
1	dessert	名詞	デザート	小学校語彙
未確認	destroy	動詞	…を破壊する	未確認
2	develop	動詞	…を発展させる	中学2年
3	developing	形容詞	発展途上の	中学3年
3	device	名詞	装置	中学3年
1	dictionary	名詞	辞書	小学校語彙
1	did	助動詞・動詞	「do」の過去形	中学1年
1	die	動詞	死ぬ	中学1年
未確認	different	形容詞	いろいろな	未確認
1	dinner	名詞	夕食	小学校語彙
未確認	direction	名詞	方向	未確認
2	disabled	形容詞	体の不自由な	中学2年
3	disagree	動詞	意見が合わない	中学3年
2	disappear	動詞	姿を消す	中学2年
2	discussion	名詞	討論	中学2年
1	dish	名詞	料理、1品	小学校語彙
1	do	動詞・助動詞	する	小学校語彙
1	doctor	名詞	医者	小学校語彙
1	dodgeball	名詞	ドッジボール	小学校語彙
1	does	動詞・助動詞	する（三人称単数現在形）	中学1年
1	dog	名詞	イヌ	小学校語彙
未確認	dollar	名詞	ドル	未確認
1	Dolls' Festival	名詞	ひな祭り	小学校語彙
1	dome	名詞	丸屋根	中学1年
3	done	動詞	「do」の過去分詞	中学3年
1	donut	名詞	ドーナツ	小学校語彙
1	door	名詞	ドア	中学1年
2	door-to-door	副詞	戸別に、1 軒ずつ	中学2年
1	down	副詞	下に	小学校語彙
1	drama	名詞	劇	小学校語彙
3	drawing	名詞	絵	中学3年
未確認	drawn	動詞	「draw」の過去分詞	未確認
2	dream	名詞	夢	中学2年
1	driver	名詞	運転手	小学校語彙
1	drop	動詞	…を落とす	中学1年
1	drum	名詞	ドラム	小学校語彙
2	due	形容詞	期限が来た	中学2年
1	each	形容詞	それぞれの	中学1年
1	ear	名詞	耳	小学校語彙
2	early	副詞	早く	中学2年
2	Earth	名詞	地球	中学2年
2	easily	副詞	簡単に	中学2年
2	easy	形容詞	やさしい	中学2年
1	eat	動詞	…を食べる	小学校語彙
3	eco-friendly	形容詞	環境にやさしい	中学3年
1	eel	名詞	ウナギ	小学校語彙
2	effort	名詞	努力	中学2年
1	egg	名詞	卵	小学校語彙
2	Egyptian	名詞	エジプト人	中学2年
1	eight	名詞・形容詞	8つ	小学校語彙
1	eighteen	名詞・形容詞	18（十八）	小学校語彙
未確認	eighteenth	名詞・形容詞	18番目の	未確認
未確認	eighth	名詞・形容詞	8番目の	未確認
1	eighty	名詞・形容詞	80（八十）	小学校語彙
3	electricity	名詞	電気	中学3年
3	electronic	形容詞	電子の	中学3年
1	elementary school	名詞	小学校	小学校語彙
1	elephant	名詞	ゾウ	小学校語彙
1	eleven	名詞・形容詞	11（十一）	小学校語彙
未確認	eleventh	名詞・形容詞	11番目の	未確認
1	else	副詞	ほかに	中学1年
1	e-mail	名詞	Eメール	小学校語彙
2	emperor	名詞	皇帝	中学2年
2	end	名詞	終わり	中学2年
3	energy	名詞	エネルギー	中学3年
1	English	名詞	英語	小学校語彙
2	enough	形容詞	十分な	中学2年
2	enter	動詞	入る	中学2年
3	entirely	副詞	全く	中学3年
1	entrance	名詞	玄関	小学校語彙
1	entrance ceremony	名詞	入学式	小学校語彙
2	envelope	名詞	封筒	中学2年
1	eraser	名詞	消しゴム	小学校語彙
1	escape	動詞	逃げる	中学1年
3	essay	名詞	随筆	中学3年
3	ethical	形容詞	道義にかなった	中学3年
1	ethnic	形容詞	民族の	中学1年
未確認	even	副詞	…でさえ	未確認
1	evening	名詞	夕方	小学校語彙
1	event	名詞	出来事	小学校語彙
2	eventually	副詞	最後には	中学2年
3	ever	副詞	今まで	中学3年
1	every	形容詞	毎…	小学校語彙
1	everyone	代名詞	みなさん	小学校語彙
3	exchange	名詞	交流	中学3年
未確認	exciting	形容詞	興奮させるような	未確認
1	excuse	動詞	…を許す	中学1年
3	expensive	形容詞	高価な	中学3年
3	extend	動詞	…を広げる	中学3年
3	extinguisher	名詞	消火器	中学3年
1	eye	名詞	目	小学校語彙
1	face	名詞	顔	小学校語彙
3	fact	名詞	現実	中学3年
2	fair	名詞	博覧会	中学2年
1	fall	名詞	秋	小学校語彙
1	fan	名詞	ファン	小学校語彙
2	fantastic	形容詞	すばらしい	中学2年
未確認	far	副詞	遠くに	未確認
1	farmer	名詞	農場主	小学校語彙
1	fast	副詞	速く	小学校語彙
2	favor	名詞	親切な行為	中学2年
3	feature	名詞	特色	中学3年
1	February	名詞	2月	小学校語彙
未確認	feel	動詞	…と感じる	未確認
2	feeling	名詞	感情	中学2年
1	fell	動詞	「fall」の過去形	中学1年
2	felt	動詞	「feel」の過去分詞	中学2年
1	festival	名詞	祭り	小学校語彙
1	fever	名詞	熱	中学1年
2	few	形容詞	少しの	中学2年
2	field	名詞	競技場	中学2年
1	field trip	名詞	校外見学	小学校語彙
1	fifteen	名詞・形容詞	15（十五）	小学校語彙
未確認	fifteenth	名詞・形容詞	15番目の	未確認
未確認	fifth	名詞・形容詞	5番目の	未確認
1	fifty	名詞・形容詞	50（五十）	小学校語彙
3	fill	動詞	…を満たす	中学3年
未確認	find	動詞	…を見つける	未確認
1	fine	形容詞	元気な	小学校語彙
2	fire	名詞	火	中学2年
1	fire fighter	名詞	消防士	小学校語彙
1	fire station	名詞	消防署	小学校語彙
1	firework	名詞	花火	小学校語彙
1	first	名詞・形容詞	最初の	小学校語彙
1	fish	名詞	魚	小学校語彙
1	fishing	名詞	つり	小学校語彙
1	five	名詞・形容詞	5つ	小学校語彙
1	flight attendant	名詞	客室乗務員	小学校語彙
1	floor	名詞	床	中学1年
2	floral	形容詞	花の	中学2年
2	flour	名詞	小麦粉	中学2年
1	flower	名詞	花	小学校語彙
1	fly	動詞	飛ぶ	小学校語彙
3	fold	動詞	…を折る	中学3年
1	for	前置詞	〜のために	中学1年
1	forest	名詞	森	小学校語彙
2	forever	副詞	永久に	中学2年
1	fortune slip	名詞	おみくじ	中学1年
1	forty	名詞・形容詞	40（四十）	小学校語彙
1	forward	副詞	前方へ	中学1年
2	found	動詞	「find」の過去形	中学2年
1	four	名詞・形容詞	4つ	小学校語彙
1	fourteen	名詞・形容詞	14（十四）	小学校語彙
未確認	fourteenth	名詞・形容詞	14番目の	未確認
未確認	fourth	名詞・形容詞	4番目の	未確認
1	fox	名詞	キツネ	小学校語彙
未確認	freedom	名詞	自由	未確認
3	freely	副詞	自由に	中学3年
1	French fries	名詞	フライドポテト	小学校語彙
1	fresh	形容詞	新鮮な	中学1年
1	Friday	名詞	金曜日	小学校語彙
未確認	fried	形容詞	油であげた	未確認
1	fried chicken	名詞	フライドチキン	小学校語彙
1	friendly	形容詞	好意的な	小学校語彙
1	frog	名詞	カエル	小学校語彙
1	from	前置詞	〜から	小学校語彙
1	front	名詞	前	中学1年
1	full	形容詞	いっぱいの	中学1年
1	fun	名詞	楽しいこと	小学校語彙
1	funny	形容詞	おかしな	小学校語彙
3	furthermore	副詞	そのうえ	中学3年
未確認	gallery	名詞	美術館	未確認
1	game	名詞	遊び	小学校語彙
1	garbage	名詞	生ごみ	小学校語彙
2	gather	動詞	…を集める	中学2年
2	gave	動詞	「give」の過去形	中学2年
2	general	形容詞	一般的な	中学2年
3	Germany	名詞	ドイツ	中学3年
1	get	動詞	…を得る	小学校語彙
1	giraffe	名詞	キリン	小学校語彙
1	girl	名詞	女の子	小学校語彙
2	give	動詞	…を与える	中学2年
未確認	glacier	名詞	氷河	未確認
2	glad	形容詞	うれしい	中学2年
1	glass	名詞	コップ	小学校語彙
3	global	形容詞	全世界の	中学3年
2	global warming	名詞	地球温暖化	中学2年
1	glove	名詞	てぶくろ	小学校語彙
1	glue	名詞	接着剤	小学校語彙
1	go	動詞	行く	小学校語彙
1	god	名詞	神	中学1年
2	golden	形容詞	金色の	中学2年
1	good	形容詞	よい	小学校語彙
未確認	goodbye	間投詞	さようなら	未確認
2	goods	名詞	商品	中学2年
1	gorilla	名詞	ゴリラ	小学校語彙
1	got	動詞	「get」の過去形	中学1年
1	graduation ceremony	名詞	卒業式	小学校語彙
1	grandfather	名詞	祖父	小学校語彙
1	grandma	名詞	おばあちゃん	中学1年
1	grandmother	名詞	祖母	小学校語彙
1	grandpa	名詞	おじいちゃん	中学1年
1	grape	名詞	ブドウ	小学校語彙
未確認	graphic designer	名詞	グラフィックデザイナー	未確認
3	greatly	副詞	おおいに	中学3年
1	green	名詞・形容詞	緑	小学校語彙
1	green tea	名詞	緑茶	小学校語彙
1	ground	名詞	地面	中学1年
未確認	group	名詞	グループ	未確認
2	grow	動詞	…になる	中学2年
1	guitar	名詞	ギター	小学校語彙
1	gun	名詞	銃	中学1年
1	gym	名詞	体育館	小学校語彙
2	habitat	名詞	生息地	中学2年
1	had	動詞	「have」の過去形	小学校語彙
1	hair	名詞	髪	小学校語彙
1	Halloween	名詞	ハロウィーン	小学校語彙
1	ham	名詞	ハム	小学校語彙
1	hamburger	名詞	ハンバーガー	小学校語彙
1	hand	名詞	手	小学校語彙
3	handle	動詞	…を処理する	中学3年
3	happen	動詞	起こる	中学3年
1	happy	形容詞	幸せな	小学校語彙
1	hard	副詞	熱心に	小学校語彙
1	harmonica	名詞	ハーモニカ	小学校語彙
2	harmoniously	副詞	調和して	中学2年
1	has	助動詞・動詞	「have」の三人称単数現在形	中学1年
1	hat	名詞	帽子	小学校語彙
1	have	動詞	…を持っている	小学校語彙
1	he	代名詞	彼	小学校語彙
1	head	名詞	頭	小学校語彙
1	headache	名詞	頭痛	中学1年
未確認	hear	動詞	…が聞こえる	未確認
1	heard	動詞	「hear」の過去形	中学1年
3	heat	名詞	熱	中学3年
2	heavy	形容詞	重い	中学2年
3	held	動詞	「hold」の過去形	中学3年
1	hello	間投詞	やあ	小学校語彙
1	help	動詞	…を手伝う	小学校語彙
未確認	her	代名詞	彼女を	未確認
1	here	副詞	さあ	中学1年
1	hero	名詞	英雄	小学校語彙
未確認	hers	代名詞	彼女のもの	未確認
2	herself	代名詞	彼女自身	中学2年
1	hey	間投詞	やあ	中学1年
1	hi	間投詞	やあ	小学校語彙
1	high	副詞	高く	小学校語彙
1	hiking	名詞	ハイキング	小学校語彙
1	him	代名詞	彼を	中学1年
1	himself	代名詞	彼自身を	中学1年
1	his	代名詞	彼の	中学1年
3	hit	動詞	「hit」の過去形	中学3年
未確認	hold	動詞	…を持つ	未確認
2	hole	名詞	穴	中学2年
未確認	holiday	名詞	休日	未確認
1	home	名詞	家庭	小学校語彙
1	home economics	名詞	家庭科	小学校語彙
2	homestay	名詞	ホームステイ	中学2年
2	hometown	名詞	故郷	中学2年
2	hope	動詞	…を望む	中学2年
1	horse	名詞	ウマ	小学校語彙
1	hot	形容詞	熱い	小学校語彙
1	hot dog	名詞	ホットドッグ	小学校語彙
1	hot spring	名詞	温泉	中学1年
2	hour	名詞	時刻	中学2年
1	house	名詞	家	小学校語彙
1	how	副詞	どのように	小学校語彙
2	however	副詞	しかしながら	中学2年
3	human being	名詞	人間	中学3年
1	humid	形容詞	湿った	小学校語彙
1	hundred	名詞・形容詞	100（百）	小学校語彙
1	hungry	形容詞	空腹の	小学校語彙
2	hunt	動詞	…を狩る	中学2年
3	hunting	名詞	狩り	中学3年
1	I	代名詞	私	小学校語彙
1	ice	名詞	氷	小学校語彙
1	ice cream	名詞	アイスクリーム	小学校語彙
1	ice hockey	名詞	アイスホッケー	中学1年
3	Iceland	名詞	アイスランド	中学3年
2	idea	名詞	考え	中学2年
2	if	接続詞	もし…ならば	中学2年
2	ill	形容詞	病気で	中学2年
3	image	名詞	像	中学3年
3	imagination	名詞	想像力	中学3年
2	improve	動詞	…を改善する	中学2年
1	in	前置詞	〜の中に	小学校語彙
2	increase	名詞	増加	中学2年
2	India	名詞	インド	中学2年
2	industry	名詞	産業	中学2年
2	ingredient	名詞	材料	中学2年
1	ink	名詞	インク	小学校語彙
2	inside	副詞	内側に	中学2年
3	inspire	動詞	を奮い立たせる	中学3年
2	instant	形容詞	即座の	中学2年
3	instead	副詞	そのかわりに	中学3年
3	interdependent	形容詞	相互に依存している	中学3年
未確認	interested	形容詞	興味を持っている	未確認
3	internet	名詞	インターネット	中学3年
3	interview	動詞	…にインタビューする	中学3年
1	into	前置詞	…の中へ	中学1年
3	invent	動詞	…を発明する	中学3年
2	invention	名詞	発明	中学2年
3	inventor	名詞	発明家	中学3年
2	invite	動詞	…を招待する	中学2年
1	is	動詞	〜です	小学校語彙
2	island	名詞	島	中学2年
1	it	代名詞	それ	小学校語彙
2	Italy	名詞	イタリア	中学2年
3	item	名詞	品目	中学3年
未確認	its	代名詞	それの	未確認
3	jail	名詞	刑務所	中学3年
1	January	名詞	1月	小学校語彙
1	Japan	名詞	日本	小学校語彙
1	Japanese	形容詞	日本の	小学校語彙
1	jeans	名詞	ジーンズ	小学校語彙
2	jewel	名詞	宝石	中学2年
1	job	名詞	職	小学校語彙
3	judge	名詞	審判員	中学3年
1	juice	名詞	ジュース	小学校語彙
1	July	名詞	7月	小学校語彙
1	jump	動詞	とぶ	小学校語彙
1	June	名詞	6月	小学校語彙
1	junior high school	名詞	中学校	小学校語彙
1	just	副詞	ただ…だけ	中学1年
2	keep	動詞	…し続ける	中学2年
1	Kenya	名詞	ケニア	中学1年
2	kept	動詞	「keep」の過去形	中学2年
2	kill	動詞	…を殺す	中学2年
3	killer whale	名詞	シャチ	中学3年
3	kilometer	名詞	キロメートル	中学3年
1	king	名詞	王	小学校語彙
3	kit	名詞	道具一式	中学3年
1	kiwi	名詞	キーウィ	中学1年
1	kiwi fruit	名詞	キウイフルーツ	小学校語彙
1	knee	名詞	ひざ	小学校語彙
2	knock	動詞	ノックする	中学2年
1	know	動詞	知っている	中学1年
2	known	動詞	「know」の過去分詞	中学2年
1	koala	名詞	コアラ	小学校語彙
3	labor	名詞	労働	中学3年
3	lamp	名詞	明かり	中学3年
2	land	名詞	土地	中学2年
未確認	large	形容詞	多い	未確認
1	last	形容詞	最後の	中学1年
未確認	late	形容詞	遅い	未確認
1	later	副詞	もっと遅く	中学1年
未確認	law	名詞	法律	未確認
2	lay	動詞	「lie」の過去形	中学2年
3	lead	動詞	通じる	中学3年
2	leaf	名詞	葉	中学2年
3	leather	名詞	革	中学3年
未確認	leave	動詞	…を置いていく	未確認
1	left	副詞	左に	小学校語彙
2	left-handed	形容詞	左利きの	中学2年
1	leg	名詞	脚	小学校語彙
1	lemon	名詞	レモン	小学校語彙
3	less	形容詞	もっと少ない	中学3年
1	let	動詞	「let」の過去形	中学1年
1	let's	短縮形	…しよう	小学校語彙
2	letter	名詞	文字	中学2年
1	lettuce	名詞	レタス	小学校語彙
1	library	名詞	図書館	小学校語彙
2	lie	動詞	位置する	中学2年
1	light	名詞	明かり	中学1年
1	like	動詞	…を好む	小学校語彙
2	line	名詞	線	中学2年
3	link	動詞	…をつなぐ	中学3年
1	lion	名詞	ライオン	小学校語彙
2	list	動詞	…を載せる	中学2年
1	listen	動詞	聞く	小学校語彙
未確認	liter	名詞	リットル	未確認
1	little	副詞	少し	中学1年
1	live	動詞	住む	小学校語彙
