No.,単語,備考
445,drawn,
446,dream,
447,drink,
448,driver,
449,drop,
450,drum,
451,due,
452,during,
453,each,
454,ear,
455,early,
456,earn,
457,Earth,
458,earthquake,
459,easily,
460,easy,
461,eat,
462,eco-friendly,
463,ecosystem,
464,eel,
465,effective,
466,effort,
467,egg,
468,Egyptian,
469,eight,
470,eighteen,
471,eighteenth,
472,eighth,
473,eighty,
474,elderly,
475,electricity,
476,electronic,
477,elementary school,
478,elephant,
479,eleven,
480,eleventh,
481,else,
482,e-mail,
483,emergency,
484,emperor,
485,encourage,
486,end,
487,endangered,
488,energetic,
489,energy,
490,English,
491,enjoy,
492,enough,
493,enter,
494,entirely,
495,entrance,
496,entrance ceremony,
497,envelope,
498,environment,
499,eraser,
500,escape,
501,especially,
502,essay,
503,ethical,
504,ethnic,
505,even,
506,evening,
507,event,
508,eventually,
509,ever,
510,every,
511,everyone,
512,everything,
513,example,
514,exception,
515,exchange,
516,excited,
517,exciting,
518,excuse,
519,existence,
520,expensive,
521,experience,
522,explain,
523,express,
524,extend,
525,extinction,
526,extinguisher,
527,eye,
528,face,
529,facility,
530,fact,
531,factory,
532,fair,博覧会・フェア
533,fair,公平な
534,fall,
535,family,
536,famous,
537,fan,扇、うちわ、扇風機
538,fan,ファン
539,fantastic,
540,far,
541,farmer,
542,fashion,
543,fast,
544,father,
545,favor,
546,favorite,
547,feature,
548,February,
549,feedback,
550,feel,
551,feeling,
552,fell,
553,felt,
554,festival,
555,fever,
556,few,
557,field,
558,field trip,
559,fifteen,
560,fifteenth,
561,fifth,
562,fifty,
563,fight,
564,fill,
565,finally,
566,find,
567,fine,
568,finish,
569,fire,
570,fire fighter,
571,fire station,
572,firework,
573,first,
574,fish,
575,fishing,
576,five,
577,flavor,
578,flight,
579,flight attendant,
580,floor,
581,floral,
582,flour,
583,flower,
584,fly,
585,fold,
586,follow,
587,follower,
588,food,
589,for,
590,foreign,
591,foreigner,
592,forest,
593,forever,
594,forget,
595,fortune slip,
596,forty,
597,forward,
598,found,findの過去形、過去分詞
599,found,…を創立する
600,four,
601,fourteen,
602,fourteenth,
603,fourth,
604,fox,
605,free,
606,freedom,
607,freely,
608,French fries,
609,fresh,
610,Friday,
611,fried,
612,fried chicken,
613,friend,
614,friendly,
615,frog,
616,from,
617,front,
618,fruit,
619,full,
620,fun,
621,funny,
622,fur,
623,furthermore,
624,future,
625,gallery,
626,game,
627,garbage,
628,gather,
629,gave,
630,general,
631,genre,
632,Germany,
633,get,
634,gift,
635,giraffe,
636,girl,
637,give,
638,glacier,
639,glad,
640,glass,
641,global,
642,global warming,
643,globe,
644,glove,
645,glue,
646,go,
647,god,
648,golden,
649,good,
650,goodbye,
651,goods,
652,gorilla,
653,got,
654,government,
655,graduation ceremony,
656,grandfather,
657,grandma,
658,grandmother,
659,grandpa,
660,grandparent,
661,grape,
662,graph,
663,graphic designer,
664,great,
665,greatly,
666,green,
667,green tea,
668,ground,
669,group,
670,grow,
671,guest,
672,guide,
673,guitar,
674,gun,
675,gym,
676,habitat,
677,had,
678,hair,
679,half,
680,Halloween,
681,hallway,
682,ham,
683,hamburger,
684,hand,
685,handle,
686,happen,
687,happy,
688,hard,
689,harmonica,
690,harmoniously,
691,has,
692,hat,
693,have,
694,he,
695,head,
696,headache,
697,hear,
698,heard,
699,heart,
700,heat,
701,heavy,
702,held,
703,hello,
704,help,
705,her,
706,here,
707,heritage,
708,hero,
709,hers,
710,herself,
711,hey,
712,hi,
713,high,
714,hiking,
715,him,
716,himself,
717,his,
718,history,
719,hit,現在形
720,hit,過去形
721,hold,
722,hole,
723,holiday,
724,home,
725,home economics,
726,homestay,
727,hometown,
728,homework,
729,hope,
730,horse,
731,hospital,
732,host,
733,hot,
734,hot dog,
735,hot spring,
736,hotel,
737,hour,
738,house,
739,how,
740,however,
741,human,
742,human being,
743,humid,
744,hundred,
745,hungry,
746,hunt,
747,hunting,
748,hurt,
749,I,
750,ice,
751,ice cream,
752,ice hockey,
753,Iceland,
754,idea,
755,if,
756,ignore,
757,ill,
758,illiterate,
759,illustration,
760,image,
761,imagination,
762,imagine,
763,impact,
764,import,
765,important,
766,improve,
767,in,
768,include,
769,increase,
770,independence,
771,India,
772,industry,
773,influence,
774,information,
775,ingredient,
776,injure,
777,ink,
778,inside,
779,inspire,
780,instant,
781,instead,
782,interdependent,
783,interested,
784,interesting,
785,international,
786,internet,
787,interview,
788,into,
789,introduce,
790,invent,
791,invention,
792,inventor,
793,invite,
794,is,
795,island,
796,it,
797,Italy,
798,item,
799,its,
800,jail,
801,January,
802,Japan,
803,Japanese,
804,jeans,
805,jewel,
806,job,
807,join,
808,judge,
809,juice,
810,July,
811,jump,
812,June,
813,junior high school,
814,just,
815,keep,
816,Kenya,
817,kept,
818,kill,
819,killer whale,
820,kilometer,
821,kind,種類
822,kind,親切な、やさしい
823,kindness,
824,king,
825,kit,
826,kitchen,
827,kiwi,
828,kiwi fruit,
829,knee,
830,knock,
831,know,
832,known,
833,koala,
834,labor,
835,lake,
836,lamp,
837,land,
838,language,
839,large,
840,last,
841,late,
842,later,
843,law,
844,lawyer,
845,lay,
846,lead,
847,leader,
848,leaf,
849,learn,
850,leather,
851,leave,
852,left,左に［へ］
853,left,leaveの過去形、過去分詞
854,left-handed,
855,leg,
856,legacy,
857,lemon,
858,less,
859,lesson,
860,let,現在形
861,let,過去形
862,let's,
863,letter,
864,lettuce,
865,library,
866,lie,
867,life,
868,light,明かり、電灯、光
869,light,軽い
870,like,…が好きである
871,like,…のような
872,limit,
873,line,
874,link,
875,lion,
876,list,
877,listen,
878,liter,
879,little,
880,live,
881,lives,
882,living,
883,living room,
884,local,
885,log,
886,logging,
887,lonely,
888,long,
889,look,
890,lose,
891,lost,
892,lot,
893,loud,
894,love,
895,low,
896,luck,
897,lullaby,
898,lunch,
899,made,
900,main,
901,make,
902,man,
903,manufacturer,
904,many,
905,map,
906,marble,
907,March,3月
908,march,行進、マーチ
909,marker,
910,market,
911,match,
912,material,
913,math,
914,may,…してもよい、…かもしれない
915,May,5月
916,maybe,
917,mayor,
918,me,
919,mean,
920,meant,
921,measure,
922,meat,
923,mechanical,
924,medicine,
925,medium,
926,meet,
927,melon,
928,member,
929,memory,
930,menu,
931,message,
932,met,
933,meter,
934,middle,
935,mild,
936,milk,
937,mine,
938,mini debate,
939,minute,
940,miss,
941,mistake,
942,mixed,
943,mom,
944,moment,
945,mommy,
946,Monday,
947,money,
948,monkey,
949,month,
950,moon,
951,mop,
952,moral education,
953,morally,
954,more,
955,moreover,
956,morning,
957,mosque,
958,most,
959,mother,
960,mountain,
961,mouse,
962,mouth,
963,move,
964,movement,
965,movie,
966,Mr.,
967,Mrs.,
968,Ms.,
969,Mt.,
970,much,
971,museum,
972,mushroom,
973,music,
974,musical,
975,must,
976,my,
977,name,
978,national,
979,native,
980,natural,
981,natural gas,
982,nature,
983,naughty,
984,near,
985,nearby,
986,necessary,
987,neck,
988,need,
989,negative,
990,neighbor,
991,nervous,
992,net,
993,never,
994,new,
995,news,
996,newspaper,
997,New Year,
998,New Year's Day,
999,New Year's Eve,
1000,New Zealand,
1001,next,
1002,nice,
1003,night,
1004,nine,
1005,nineteen,
1006,nineteenth,
1007,ninety,
1008,ninth,
1009,no,
1010,nod,
1011,non-violence,
1012,non-violent,
1013,noodle,
1014,noon,
1015,nose,
1016,not,
1017,note,
1018,notebook,
1019,nothing,
1020,November,
1021,now,
1022,nowadays,
1023,nuclear,
1024,number,
1025,nurse,
1026,nursery,
1027,nurse's office,
1028,ocean,
1029,o’clock,
1030,October,
1031,octopus,
1032,of,
1033,off,
1034,office,
1035,often,
1036,oh,
1037,oil,
1038,OK,
1039,old,
1040,omelet,
1041,on,
1042,once,
1043,one,
1044,onion,
1045,online,
1046,only,
1047,oops,
1048,open,
1049,operation,
1050,or,
1051,orange,
1052,order,
1053,ordinary,
1054,original,
1055,other,
1056,our,
1057,ours,
1058,out,
1059,outside,
1060,over,
1061,overhunting,
1062,overseas,
1063,own,
1064,owner,
1065,paid,
1066,paint,
1067,painting,
1068,pair,
1069,palace,
1070,pan,
1071,pancake,
1072,panda,
1073,pants,
1074,paper,
1075,pardon,
1076,parent,
1077,parfait,
1078,park,
1079,part,
1080,party,
1081,pass,
1082,past,
1083,patty,
1084,pay,
1085,P.E.,
1086,peace,
1087,peaceful,
1088,peach,
1089,pear,
1090,pen,
1091,pencil,
1092,pencil case,
1093,penguin,
1094,people,
1095,percent,
1096,perfect,
1097,performance,
1098,performer,
1099,person,
1100,personality,
1101,pet,
1102,photo,
1103,photograph,
1104,photographer,
1105,piano,
1106,pick,
1107,picture,
1108,picture book,
1109,pie,
1110,piece,
1111,pilot,
1112,pineapple,
1113,pink,
1114,pizza,
1115,place,
1116,plan,
1117,planet,
1118,plant,
1119,plastic,
1120,plate,
1121,play,
1122,player,
1123,playful,
1124,please,
1125,plum,
1126,p.m.,
1127,pocket,
1128,point,
1129,police officer,
1130,police station,
1131,pollute,
1132,pollution,
1133,poor,
1134,pop,
1135,popular,
1136,population,
1137,pork,
1138,position,
1139,positive,
1140,possible,
1141,poster,
1142,post office,
1143,pot,
1144,potato,
1145,power,
1146,practice,
1147,precious,
1148,prepare,
1149,prepared,
1150,present,
1151,presentation,
1152,president,
1153,pretty,
1154,price,
1155,principal's office,
1156,print,
1157,printer,
1158,probably,
1159,problem,
1160,produce,
1161,product,
1162,professor,
1163,program,
1164,progress,
1165,prohibit,
1166,prop,
1167,protect,
1168,protest,
1169,public,
1170,publish,
1171,pull,
1172,puppy,
1173,purple,
1174,pursue,
1175,put,現在形
1176,put,過去形
1177,quality,
1178,quarter,
1179,queen,
1180,question,
1181,quiet,
1182,quietly,
1183,quite,
1184,quiz,
1185,rabbit,
1186,racket,
1187,radiation,
1188,rain,
1189,rainwater,
1190,rainy,
1191,raise,
1192,ramen,
1193,ramp,
1194,ran,
1195,rapidly,
1196,reach,
1197,read,現在形
1198,read,過去形、過去分詞
1199,reader,
1200,reading,
1201,ready,
1202,real,
1203,realize,
1204,really,
1205,reason,
1206,receive,
1207,recently,
1208,recognize,
1209,recommend,
1210,recommended,
1211,recorder,
1212,rectangle,
1213,recycle,
1214,red,
1215,reduce,
1216,reflect,
1217,regardless,
1218,region,
1219,regional,
1220,relate,
1221,relationship,
1222,relatively,
1223,relax,
1224,relay,
1225,release,
1226,remember,
1227,remind,
1228,remove,
1229,renewable,
1230,repeat,
1231,reply,
1232,report,
1233,represent,
1234,research,
1235,researcher,
1236,reservation,
1237,resident,
1238,resource,
1239,respect,
1240,responsible,
1241,rest,休み、休む
1242,rest,残り、その他
1243,restaurant,
1244,restroom,
1245,result,
1246,return,
1247,reusable,
1248,review,
1249,rice,
1250,rice ball,
1251,rich,
1252,ride,
1253,right,正しい、正確な、権利
1254,right,右に［へ］
1255,right-handed,
1256,rise,
1257,river,
1258,road,
1259,rode,
1260,role,
1261,room,
1262,root,
1263,rose,
1264,round,
1265,rugby,
1266,rule,
1267,ruler,
1268,run,
1269,runner,
1270,(1970)s,
1271,(Riko)'s,
1272,sad,
1273,safe,
1274,safely,
1275,said,
1276,salad,
1277,salt,
1278,salty,
1279,same,
1280,sandwich,
1281,Saturday,
1282,sauce,
1283,sausage,
1284,save,
1285,saw,
1286,say,
1287,scene,
1288,school,
1289,school festival,
1290,school trip,
1291,science,
1292,scientist,
1293,scissors,
1294,scroll,
1295,sea,
1296,seafood,
1297,sea otter,
1298,season,
1299,sea turtle,
1300,second,2日、2番め（の）
1301,second,秒
1302,see,
1303,seem,
1304,seen,
1305,select,
1306,selection,
1307,sell,
1308,send,
1309,sent,
1310,sentence,
1311,September,
1312,server,
1313,service,
1314,set,現在形
1315,set,過去形
1316,setter,
1317,seven,
1318,seventeen,
1319,seventeenth,
1320,seventh,
1321,seventy,
1322,several,
1323,severe,
1324,shade,
1325,shadow,
1326,shall,
1327,shape,
1328,share,
1329,shark,
1330,shaved ice,
1331,she,
1332,sheep,
1333,shelter,
1334,shirt,
1335,shock,
1336,shoe,
1337,shop,
1338,shopping,
1339,short,
1340,shortly,
1341,should,
1342,shoulder,
1343,shout,
1344,show,
1345,shower,
1346,shrine,
1347,shy,
1348,side,
1349,sidewalk,
1350,sign,
1351,since,
1352,sincerely,
1353,sing,
1354,Singapore,
1355,singer,
1356,sister,
1357,sit,
1358,site,
1359,situation,
1360,six,
1361,sixteen,
1362,sixteenth,
1363,sixth,
1364,sixty,
1365,size,
1366,skate,
1367,ski,
1368,skiing,
1369,skill,
1370,sky,
1371,sleep,
1372,sleepy,
1373,slide,
1374,slow,
1375,slowly,
1376,small,
1377,smart,
1378,smartphone,
1379,smile,
1380,smoke,
1381,snake,
1382,snow,
1383,snowboarding,
1384,snowy,
1385,so,
1386,soccer,
1387,social studies,
1388,sock,
1389,soda,
1390,soft,
1391,softball,
1392,sold,
1393,solve,
1394,some,
1395,someday,
1396,someone,
1397,something,
1398,sometime,
1399,sometimes,
1400,son,
1401,song,
1402,soon,
1403,sorry,
1404,sound,
1405,soup,
1406,sour,
1407,South Africa,
1408,souvenir,
1409,soy sauce,
1410,spaghetti,
1411,speak,
1412,speaker,
1413,special,
1414,species,
1415,speech,
1416,speed,
1417,spell,
1418,spend,
1419,spent,
1420,spicy,
1421,spider,
1422,spiker,
1423,spill,
1424,spirit,
1425,spoke,
1426,sport,
1427,sports day,
1428,spot,
1429,spread,現在形
1430,spread,過去形
1431,spring,
1432,square,
1433,stadium,
1434,staff,
1435,stage,
1436,stair,
1437,stand,
1438,standard,
1439,stapler,
1440,star,
1441,Star Festival,
1442,start,
1443,starter,
1444,station,
1445,stationery,
1446,stay,
1447,steak,
1448,steam,
1449,stick,
1450,still,
1451,stomachache,
1452,stood,
1453,stop,
1454,store,
1455,story,
1456,straight,
1457,strategy,
1458,straw,
1459,strawberry,
1460,street,
1461,strong,
1462,student,
1463,studio,
1464,study,
1465,subject,
1466,such,
1467,sudden,
1468,suddenly,
1469,summer,
1470,sun,
1471,Sunday,
1472,sunny,
1473,sunrise,
1474,sunshine,
1475,supermarket,
1476,supply,
1477,support,
1478,sure,
1479,surf,
1480,surprised,
1481,surround,
1482,survey,
1483,survival,
1484,survive,
1485,sustainable,
1486,sweater,
1487,sweatshirt,
1488,sweet,
1489,swim,
1490,swimming,
1491,swimming meet,
1492,swimming pool,
1493,symbol,
1494,table,
1495,tablet,
1496,table tennis,
1497,tag,
1498,take,
1499,talk,
1500,tall,
1501,tap,
1502,taste,
1503,tasty,
1504,taught,
1505,tax,
1506,taxi,
1507,tea,
1508,teach,
1509,teacher,
1510,team,
1511,teammate,
1512,technique,
1513,technology,
1514,teeth,
1515,tell,
1516,temple,
1517,ten,
1518,tennis,
1519,tent,
1520,tenth,
1521,text,
1522,textbook,
1523,Thailand,
1524,than,
1525,thank,
1526,that,
1527,the,
1528,theater,
1529,their,
1530,theirs,
1531,them,
1532,then,
1533,there,
1534,therefore,
1535,these,
1536,they,
1537,thick,
1538,thing,
1539,think,
1540,third,
1541,thirsty,
1542,thirteen,
1543,thirteenth,
1544,thirtieth,
1545,thirty,
1546,this,
1547,those,
1548,thought,
1549,thousand,
1550,three,
1551,through,
1552,Thursday,
1553,ticket,
1554,tiger,
1555,tightly,
1556,time,
1557,timekeeping,
1558,tiny,
1559,tired,
1560,to,
1561,today,
1562,toe,
1563,together,
1564,told,
1565,tomato,
1566,tomorrow,
1567,ton,
1568,too,
1569,took,
1570,tooth,
1571,toothache,
1572,top,
1573,topic,
1574,topping,
1575,touch,
1576,tough,
1577,tour,
1578,tourism,
1579,tourist,
1580,toward,
1581,towel,
1582,town,
1583,toy,
1584,track and field,
1585,trade,
1586,tradition,
1587,traditional,
1588,traffic accident,
1589,traffic jam,
1590,traffic light,
1591,trail,
1592,train,
1593,travel,
1594,traveler,
1595,tree,
1596,triangle,
1597,trick,
1598,trip,
1599,trivia,
1600,trouble,
1601,true,
1602,try,
1603,T-shirt,
1604,tsunami,
1605,Tuesday,
1606,turf,
1607,turn,
1608,TV,
1609,twelfth,
1610,twelve,
1611,twentieth,
1612,twenty,
1613,twice,
1614,two,
1615,type,
1616,U.K.,
1617,umbrella,
1618,uncle,
1619,under,
1620,understand,
1621,understood,
1622,unfair,
1623,unfold,
1624,uniform,
1625,unique,
1626,United States,
1627,universal,
1628,university,
1629,until,
1630,unused,
1631,unusual,
1632,up,
1633,us,
1634,U.S.,
1635,use,
1636,useful,
1637,usually,
1638,vacation,
1639,value,
1640,variation,
1641,variety,
1642,various,
1643,vegan,
1644,vegetable,
1645,vendor,
1646,very,
1647,vet,
1648,video,
1649,village,
1650,violence,
1651,violin,
1652,visit,
1653,visitor,
1654,voice,
1655,volleyball,
1656,volunteer,
1657,V sign,
1658,wage,
1659,wait,
1660,wake,
1661,walk,
1662,wall,
1663,want,
1664,war,
1665,warm,
1666,was,
1667,wash,
1668,waste,
1669,watch,
1670,water,
1671,watermelon,
1672,wave,
1673,way,
1674,we,
1675,weak,
1676,weakly,
1677,wear,
1678,weather,
1679,website,
1680,Wednesday,
1681,week,
1682,weekend,
1683,weigh,
1684,weight,
1685,welcome,
1686,well,じょうずに、ええと、さて
1687,well,井戸
1688,well-off,
1689,went,
1690,were,
1691,whale,
1692,what,
1693,wheelchair,
1694,when,
1695,where,
1696,which,
1697,while,
1698,white,
1699,who,
1700,whose,
1701,why,
1702,wife,
1703,wild,
1704,wilderness,
1705,will,
1706,win,
1707,wind,
1708,window,
1709,windy,
1710,wing,
1711,winner,
1712,winter,
1713,wisdom,
1714,wish,
1715,with,
1716,without,
1717,woke,
1718,wolf,
1719,woman,
1720,won,
1721,wonder,
1722,wonderful,
1723,wooden,
1724,wool,
1725,word,
1726,work,
1727,worker,
1728,working,
1729,world,
1730,worldwide,
1731,worry,
1732,worth,
1733,would,
1734,wow,
1735,wrap,
1736,write,
1737,writer,
1738,wrong,
1739,wrote,
1740,year,
1741,yellow,
1742,yes,
1743,yesterday,
1744,yet,
1745,you,
1746,young,
1747,your,
1748,yours,
1749,yourself,
1750,yo-yo,
1751,zebra,
1752,zero,
1753,zipper,
1754,zoo,
1755,aren’t,
1756,can’t,
1757,couldn’t,
1758,didn’t,
1759,doesn’t,
1760,don’t,
1761,hasn’t,
1762,haven’t,
1763,here’s,
1764,he’s,
1765,how’s,
1766,I’d,
1767,I’ll,
1768,I’m,
1769,isn’t,
1770,it’s,
1771,I’ve,
1772,mustn’t,
1773,she’s,
1774,that’s,
1775,there’s,
1776,they’re,
1777,wasn’t,
1778,we’ll,
1779,we’re,
1780,weren’t,
1781,we’ve,
1782,what’s,
1783,when’s,
1784,where’s,
1785,who’s,
1786,won’t,
1787,you’ll,
1788,you’re,
1789,you’ve,
